0, 0.00, 0.00,11.00,-20.00,11.00,-20.00,10.00,-22.00,11.00,-23.00,11.00,-23.00,12.00,-23.00,12.00,-24.00,13.00,-24.00,14.00,-24.00,15.00,-23.00,15.00,-23.00,14.00,-23.00,13.00,-23.00,11.00,-23.00,9.00,-24.00,8.00,-24.00,8.00,-24.00,7.00,-24.00,6.00,-24.00,6.00,-24.00,6.00,-24.00,7.00,-23.00,8.00,-23.00,9.00,-22.00,10.00,-22.00,9.00,-21.00,9.00,-20.00,8.00,-20.00,7.00,-20.00,6.00,-20.00,5.00,-20.00,5.00,-20.00,5.00,-20.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1, 0.00, 0.00,11.00,-20.00,11.00,-20.00,10.00,-22.00,11.00,-23.00,11.00,-23.00,12.00,-23.00,12.00,-24.00,13.00,-24.00,14.00,-24.00,15.00,-23.00,15.00,-23.00,14.00,-23.00,13.00,-23.00,11.00,-23.00,9.00,-24.00,8.00,-24.00,8.00,-24.00,7.00,-24.00,6.00,-24.00,6.00,-24.00,6.00,-24.00,7.00,-23.00,8.00,-23.00,9.00,-22.00,10.00,-22.00,9.00,-21.00,9.00,-20.00,8.00,-20.00,7.00,-20.00,6.00,-20.00,5.00,-20.00,5.00,-20.00,5.00,-20.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2, 0.00, 0.00,10.00,-21.00,10.00,-21.00,10.00,-21.00,11.00,-21.00,11.00,-21.00,12.00,-21.00,12.00,-21.00,13.00,-21.00,14.00,-20.00,13.00,-20.00,12.00,-19.00,12.00,-19.00,10.00,-20.00,9.00,-21.00,8.00,-22.00,8.00,-23.00,7.00,-24.00,6.00,-24.00,5.00,-24.00,4.00,-24.00,4.00,-23.00,5.00,-23.00,5.00,-23.00,6.00,-23.00,6.00,-24.00,7.00,-24.00,7.00,-24.00,9.00,-24.00,9.00,-24.00,9.00,-25.00,9.00,-25.00,9.00,-25.00,9.00,-25.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3, 0.00, 0.00,13.00,-25.00,13.00,-25.00,12.00,-25.00,11.00,-26.00,11.00,-26.00,12.00,-25.00,12.00,-25.00,13.00,-24.00,13.00,-23.00,12.00,-23.00,11.00,-23.00,9.00,-23.00,7.00,-23.00,5.00,-23.00,4.00,-23.00,4.00,-22.00,4.00,-23.00,4.00,-23.00,4.00,-23.00,5.00,-23.00,6.00,-23.00,6.00,-23.00,6.00,-23.00,6.00,-23.00,6.00,-23.00,5.00,-22.00,5.00,-22.00,4.00,-21.00,3.00,-21.00,2.00,-22.00,2.00,-22.00,2.00,-22.00,2.00,-22.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4, 0.00, 0.00,11.00,-23.00,11.00,-23.00,11.00,-24.00,12.00,-24.00,12.00,-24.00,12.00,-24.00,12.00,-25.00,12.00,-24.00,12.00,-25.00,11.00,-25.00,10.00,-25.00,9.00,-25.00,7.00,-25.00,6.00,-26.00,5.00,-26.00,5.00,-27.00,4.00,-29.00,4.00,-30.00,4.00,-30.00,5.00,-31.00,5.00,-31.00,6.00,-31.00,6.00,-30.00,6.00,-30.00,6.00,-30.00,5.00,-29.00,4.00,-29.00,3.00,-29.00,3.00,-29.00,2.00,-30.00,2.00,-31.00,2.00,-31.00,2.00,-31.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5, 0.00, 0.00,10.00,-30.00,10.00,-30.00,10.00,-30.00,10.00,-32.00,10.00,-32.00,10.00,-33.00,11.00,-33.00,11.00,-32.00,10.00,-32.00,10.00,-30.00,9.00,-29.00,8.00,-28.00,7.00,-28.00,6.00,-28.00,5.00,-29.00,5.00,-30.00,5.00,-32.00,5.00,-32.00,5.00,-33.00,5.00,-33.00,5.00,-33.00,5.00,-33.00,6.00,-32.00,6.00,-32.00,5.00,-32.00,5.00,-32.00,4.00,-32.00,4.00,-33.00,3.00,-33.00,2.00,-34.00,2.00,-34.00,2.00,-34.00,2.00,-34.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6, 0.00, 0.00,9.00,-32.00,9.00,-32.00,9.00,-33.00,10.00,-32.00,10.00,-32.00,10.00,-32.00,11.00,-31.00,12.00,-31.00,12.00,-31.00,12.00,-31.00,12.00,-31.00,11.00,-31.00,9.00,-32.00,7.00,-33.00,6.00,-34.00,5.00,-35.00,4.00,-37.00,4.00,-38.00,4.00,-39.00,4.00,-39.00,4.00,-40.00,4.00,-40.00,5.00,-40.00,5.00,-40.00,5.00,-41.00,4.00,-40.00,3.00,-40.00,3.00,-40.00,2.00,-40.00,1.00,-40.00,1.00,-40.00,1.00,-40.00,1.00,-40.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
7, 0.00, 0.00,10.00,-37.00,10.00,-37.00,10.00,-37.00,11.00,-37.00,11.00,-37.00,11.00,-37.00,12.00,-36.00,12.00,-36.00,11.00,-36.00,11.00,-36.00,10.00,-35.00,9.00,-36.00,8.00,-36.00,7.00,-37.00,7.00,-38.00,7.00,-39.00,7.00,-40.00,7.00,-40.00,7.00,-40.00,7.00,-40.00,6.00,-39.00,6.00,-38.00,7.00,-38.00,7.00,-39.00,7.00,-39.00,8.00,-40.00,9.00,-41.00,9.00,-41.00,9.00,-42.00,8.00,-42.00,8.00,-42.00,8.00,-42.00,8.00,-42.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
8, 0.00, 0.00,9.00,-39.00,9.00,-39.00,9.00,-39.00,9.00,-40.00,9.00,-40.00,10.00,-41.00,11.00,-40.00,11.00,-41.00,12.00,-40.00,12.00,-39.00,10.00,-39.00,9.00,-39.00,7.00,-38.00,6.00,-38.00,5.00,-38.00,4.00,-38.00,3.00,-39.00,3.00,-39.00,3.00,-39.00,3.00,-39.00,4.00,-39.00,5.00,-40.00,6.00,-40.00,7.00,-40.00,7.00,-40.00,8.00,-40.00,8.00,-39.00,8.00,-39.00,8.00,-39.00,7.00,-39.00,7.00,-39.00,7.00,-39.00,7.00,-39.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
9, 0.00, 0.00,13.00,-39.00,13.00,-39.00,13.00,-39.00,14.00,-40.00,14.00,-40.00,14.00,-40.00,14.00,-40.00,15.00,-39.00,15.00,-39.00,15.00,-39.00,16.00,-39.00,15.00,-39.00,15.00,-39.00,14.00,-39.00,13.00,-40.00,12.00,-41.00,11.00,-41.00,10.00,-41.00,10.00,-41.00,10.00,-41.00,10.00,-41.00,10.00,-41.00,11.00,-41.00,11.00,-42.00,11.00,-42.00,11.00,-41.00,11.00,-41.00,11.00,-40.00,11.00,-40.00,11.00,-40.00,10.00,-40.00,10.00,-40.00,10.00,-40.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
